name;description
Merlot;Le merlot est un cépage rouge, aux petites baies noires, apparu à la fin du 18ème siècle. cépage est produit dans la plupart des terroirs bordelais, où il représente 58% de surface plantée. Son terroir de prédilection est situé à Pomerol et à Saint-Emilion sur des sols frais, argilo-calcaires.
Cabernet franc; Le cabernet franc est un cépage noir de cuve. Il appartient à la famille des Carmenets, dont il est le membre le plus proche des variétés sauvages.
Syrah;Syrah
Grenache;Grenache
Carignan;Carignan
Malbec;Malbec
Cabernet sauvignon;Cabernet sauvignon
Viogner;Viogner
