code;locale;name
Rouge;en;Red
Blanc;en;White
Rosé;en;Rose
Vert;en;Green
Rouge;fr;Rouge
Blanc;fr;Blanc
Rosé;fr;Rosé
Vert;fr;Vert
Rouge;de;Rot
Blanc;de;Weiß
Rosé;de;Rosa
Vert;de;Grün
